id,onoma_dimou_koinotitas,kodikos_koinotitas,eidos_koinotitas,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia,code
37,ΜΙΚΡΟΚΛΕΙΣΟΥΡΑΣ,90030111,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100403
38,ΜΙΚΡΟΜΗΛΕΑΣ,90030112,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100404
39,ΟΧΥΡΟΥ,90030113,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100405
40,ΠΑΓΟΝΕΡΙΟΥ,90030114,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100406
41,ΠΕΡΙΘΩΡΙΟΥ,90030115,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100407
42,ΠΟΤΑΜΩΝ,90030116,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100408
43,ΧΡΥΣΟΚΕΦΑΛΟΥ,90030117,ΤΟΠ. ΚΟΙΝΟΤ,900301,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,9003,ΔΗΜΟΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100410
44,ΑΔΡΙΑΝΗΣ,90040101,ΤΟΠ. ΚΟΙΝΟΤ,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100501
45,ΑΝΩ ΠΥΞΑΡΙΟΥ,90040102,ΤΟΠ. ΚΟΙΝΟΤ,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100502
46,ΝΙΚΗΦΟΡΟΥ,90040103,ΤΟΠ. ΚΟΙΝΟΤ,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100503
47,ΠΛΑΤΑΝΙΑΣ,90040104,ΤΟΠ. ΚΟΙΝΟΤ,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100504
48,ΠΛΑΤΑΝΟΒΡΥΣΗΣ,90040105,ΤΟΠ. ΚΟΙΝΟΤ,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100505
49,ΠΤΕΛΕΑΣ ΠΛΑΤΑΝΙΑΣ,90040106,ΤΟΠ. ΚΟΙΝΟΤ,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100506
50,ΥΨΗΛΗΣ ΡΑΧΗΣ,90040107,ΤΟΠ. ΚΟΙΝΟΤ,900401,ΝΙΚΗΦΟΡΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100507
51,ΘΟΛΟΥ,90040201,ΤΟΠ. ΚΟΙΝΟΤ,900402,ΠΑΡΑΝΕΣΤΙΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100601
52,ΠΑΡΑΝΕΣΤΙΟΥ,90040202,ΤΟΠ. ΚΟΙΝΟΤ,900402,ΠΑΡΑΝΕΣΤΙΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100602
53,ΣΙΛΗΣ,90040203,ΤΟΠ. ΚΟΙΝΟΤ,900402,ΠΑΡΑΝΕΣΤΙΟΥ,9004,ΔΗΜΟΣ,ΠΑΡΑΝΕΣΤΙΟΥ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100603
54,ΠΕΤΡΟΥΣΣΗΣ,90050101,ΔΗΜ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100708
55,ΠΡΟΣΟΤΣΑΝΗΣ,90050102,ΔΗΜ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100709
56,ΑΝΘΟΧΩΡΙΟΥ,90050103,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100701
57,ΓΡΑΜΜΕΝΗΣ,90050104,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100702
58,ΚΑΛΗΣ ΒΡΥΣΗΣ,90050105,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100703
59,ΚΑΛΛΙΘΕΑΣ,90050106,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100704
60,ΚΟΚΚΙΝΟΓΕΙΩΝ,90050107,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100705
61,ΜΙΚΡΟΠΟΛΕΩΣ,90050108,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100706
62,ΠΑΝΟΡΑΜΑΤΟΣ,90050109,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100707
63,ΠΥΡΓΩΝ,90050110,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100710
64,ΧΑΡΙΤΩΜΕΝΗΣ,90050111,ΤΟΠ. ΚΟΙΝΟΤ,900501,ΠΡΟΣΟΤΣΑΝΗΣ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100711
65,ΑΡΓΥΡΟΥΠΟΛΙΣ,90050201,ΤΟΠ. ΚΟΙΝΟΤ,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100901
66,ΜΑΥΡΟΛΕΥΚΗΣ,90050202,ΤΟΠ. ΚΟΙΝΟΤ,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100902
67,ΜΕΓΑΛΟΚΑΜΠΟΥ,90050203,ΤΟΠ. ΚΟΙΝΟΤ,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100903
68,ΜΙΚΡΟΚΑΜΠΟΥ,90050204,ΤΟΠ. ΚΟΙΝΟΤ,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100904
69,ΠΕΡΙΧΩΡΑΣ,90050205,ΤΟΠ. ΚΟΙΝΟΤ,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100905
70,ΣΙΤΑΓΡΩΝ,90050206,ΤΟΠ. ΚΟΙΝΟΤ,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100906
71,ΦΩΤΟΛΙΒΟΥΣ,90050207,ΤΟΠ. ΚΟΙΝΟΤ,900502,ΣΙΤΑΓΡΩΝ,9005,ΔΗΜΟΣ,ΠΡΟΣΟΤΣΑΝΗΣ,101,ΔΡΑΜΑΣ,1,ΑΝ. ΜΑΚΕΔΟΝΙΑΣ & ΘΡΑΚΗΣ,100907
