project_id,monada_id,kallikratis_id,event_types_id,expediture_type_id
125,1,5001,3,5
126,2,5001,7,2
126,2,5001,10,2
127,2,5001,12,1
127,2,5001,12,3
127,2,5001,12,4
127,2,5001,12,5
128,4,5001,10,1
128,4,5001,10,3
128,4,5001,10,4
128,4,5001,10,5
129,2,5001,12,1
129,2,5001,12,3
129,2,5001,12,4
129,2,5001,12,5
131,5,5001,12,1
131,5,5001,12,3
131,5,5001,12,4
131,5,5001,12,5
132,2,5001,10,1
132,2,5001,10,3
132,2,5001,10,4
132,2,5001,10,5
133,7,5001,12,1
133,7,5001,12,3
133,7,5001,12,4
133,7,5001,12,5
134,2,5001,8,1
134,2,5001,8,3
134,2,5001,8,4
134,2,5001,8,5
135,6,5001,12,1
135,6,5001,12,3
135,6,5001,12,4
135,6,5001,12,5
136,2,5001,8,1
136,2,5001,8,3
136,2,5001,8,4
136,2,5001,8,5
137,5,5001,10,1
137,5,5001,10,3
137,5,5001,10,4
137,5,5001,10,5
138,5,5001,12,1
138,5,5001,12,3
138,5,5001,12,4
138,5,5001,12,5
139,6,5001,12,1
139,6,5001,12,3
139,6,5001,12,4
139,6,5001,12,5
140,5,5001,10,1
140,5,5001,10,3
140,5,5001,10,4
140,5,5001,10,5
141,7,5001,10,1
141,7,5001,10,3
141,7,5001,10,4
141,7,5001,10,5
143,2,5001,10,1
143,2,5001,10,3
143,2,5001,10,4
143,2,5001,10,5
144,5,5001,13,1
144,5,5001,13,3
144,5,5001,13,4
144,5,5001,13,5
145,2,5001,3,1
145,2,5001,3,3
145,2,5001,3,4
145,2,5001,3,5
146,4,5001,10,1
146,4,5001,10,3
146,4,5001,10,4
146,4,5001,10,5
147,2,5001,10,1
147,2,5001,10,3
147,2,5001,10,4
147,2,5001,10,5
148,10,5001,8,1
148,10,5001,8,3
148,10,5001,8,4
148,10,5001,8,5
149,4,5001,10,1
149,4,5001,10,3
149,4,5001,10,4
149,4,5001,10,5
150,2,5001,12,1
150,2,5001,12,3
150,2,5001,12,4
150,2,5001,12,5
151,2,5001,10,1
151,2,5001,10,3
151,2,5001,10,4
151,2,5001,10,5
152,4,5001,16,1
152,4,5001,16,3
152,4,5001,16,4
152,4,5001,16,5
153,2,5001,10,1
153,2,5001,10,3
153,2,5001,10,4
153,2,5001,10,5
154,1,5001,10,1
154,1,5001,10,3
154,1,5001,10,4
154,1,5001,10,5
155,4,5001,10,1
155,4,5001,10,3
155,4,5001,10,4
155,4,5001,10,5
156,5,5001,13,1
156,5,5001,13,3
156,5,5001,13,4
156,5,5001,13,5
157,2,5001,8,1
157,2,5001,8,3
157,2,5001,8,4
157,2,5001,8,5
158,5,5001,10,1
158,5,5001,10,3
158,5,5001,10,4
158,5,5001,10,5
159,2,5001,10,1
159,2,5001,10,3
159,2,5001,10,4
159,2,5001,10,5
160,2,5001,10,1
160,2,5001,10,2
160,2,5001,10,3
160,2,5001,10,4
160,2,5001,10,5
161,4,5001,10,1
161,4,5001,10,3
161,4,5001,10,4
161,4,5001,10,5
162,4,5001,3,1
162,4,5001,3,3
162,4,5001,3,4
162,4,5001,3,5
163,4,5001,10,1
163,4,5001,10,3
163,4,5001,10,4
163,4,5001,10,5
164,8,5001,10,1
164,8,5001,10,3
164,8,5001,10,4
164,8,5001,10,5
165,5,5001,3,1
165,5,5001,3,3
165,5,5001,3,4
165,5,5001,3,5
166,2,5001,8,1
166,2,5001,8,3
166,2,5001,8,4
166,2,5001,8,5
167,5,5001,3,1
167,5,5001,3,3
167,5,5001,3,4
167,5,5001,3,5
168,2,5001,10,1
168,2,5001,10,3
168,2,5001,10,4
168,2,5001,10,5
169,5,5001,10,1
169,5,5001,10,3
169,5,5001,10,4
169,5,5001,10,5
170,2,5001,10,1
170,2,5001,10,3
170,2,5001,10,4
170,2,5001,10,5
171,5,5001,12,1
171,5,5001,12,3
171,5,5001,12,4
171,5,5001,12,5
172,2,5001,8,1
172,2,5001,8,3
172,2,5001,8,4
172,2,5001,8,5
173,4,5001,10,1
173,4,5001,10,3
173,4,5001,10,4
173,4,5001,10,5
174,2,5001,10,1
174,2,5001,10,3
174,2,5001,10,4
174,2,5001,10,5
175,11,5001,13,1
175,11,5001,13,3
175,11,5001,13,4
175,11,5001,13,5
176,6,5001,13,1
176,6,5001,13,3
176,6,5001,13,4
176,6,5001,13,5
177,4,5001,10,1
177,4,5001,10,3
177,4,5001,10,4
177,4,5001,10,5
178,7,5001,10,1
178,7,5001,10,3
178,7,5001,10,4
178,7,5001,10,5
179,5,5001,10,1
179,5,5001,10,3
179,5,5001,10,4
179,5,5001,10,5
180,4,5001,3,1
180,4,5001,3,3
180,4,5001,3,4
180,4,5001,3,5
181,4,5001,10,1
181,4,5001,10,3
181,4,5001,10,4
181,4,5001,10,5
182,4,5001,10,1
182,4,5001,10,3
182,4,5001,10,4
182,4,5001,10,5
183,2,5001,10,1
183,2,5001,10,3
183,2,5001,10,4
183,2,5001,10,5
184,1,5001,8,1
184,1,5001,8,3
184,1,5001,8,4
184,1,5001,8,5
185,4,5001,10,1
185,4,5001,10,3
185,4,5001,10,4
185,4,5001,10,5
186,2,5001,13,1
186,2,5001,13,3
186,2,5001,13,4
186,2,5001,13,5
187,2,5001,10,1
187,2,5001,10,3
187,2,5001,10,4
187,2,5001,10,5
188,1,5001,13,1
188,1,5001,13,3
188,1,5001,13,4
188,1,5001,13,5
190,2,5001,13,1
190,2,5001,13,3
190,2,5001,13,4
190,2,5001,13,5
191,2,5001,10,1
191,2,5001,10,3
191,2,5001,10,4
191,2,5001,10,5
192,5,5001,13,1
192,5,5001,13,3
192,5,5001,13,4
192,5,5001,13,5
193,5,5001,12,1
193,5,5001,12,3
193,5,5001,12,4
193,5,5001,12,5
194,2,5001,12,1
194,2,5001,12,3
194,2,5001,12,4
194,2,5001,12,5
195,7,5001,12,1
195,7,5001,12,3
195,7,5001,12,4
195,7,5001,12,5
