id,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia
58,902303,ΜΕΛΙΚΗΣ,9023,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
59,902304,ΠΛΑΤΕΟΣ,9023,ΔΗΜΟΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
60,902401,ΑΠΟΣΤΟΛΟΥ ΠΑΥΛΟΥ,9024,ΔΗΜΟΣ,ΒΕΡΟΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
61,902402,ΒΕΡΓΙΝΑΣ,9024,ΔΗΜΟΣ,ΒΕΡΟΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
62,902403,ΒΕΡΟΙΑΣ,9024,ΔΗΜΟΣ,ΒΕΡΟΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
63,902404,ΔΟΒΡΑ,9024,ΔΗΜΟΣ,ΒΕΡΟΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
64,902405,ΜΑΚΕΔΟΝΙΔΟΣ,9024,ΔΗΜΟΣ,ΒΕΡΟΙΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
65,902501,ΑΝΘΕΜΙΩΝ,9025,ΔΗΜΟΣ,ΝΑΟΥΣΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
66,902502,ΕΙΡΗΝΟΥΠΟΛΗΣ,9025,ΔΗΜΟΣ,ΝΑΟΥΣΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
67,902503,ΝΑΟΥΣΑΣ,9025,ΔΗΜΟΣ,ΝΑΟΥΣΑΣ,201,ΗΜΑΘΙΑΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
